Cells,"Selection step (T0, black and white)",Final,Time point 1,Time point 2,Time point 3,Time point 4,Time point 5,Time point 6,Time point 7,Time point 8,Time point 9,Time point 10,Time point 11,Time point 12,Time point 13,Time point 14,Time point 15,Time point 16
chip2_1851035011_site_35,TU-NK,TU-NK,5.54,4.18,5.011,4.717,4.879,4.123,3.837,3.167,3.167,3.399,3.399,2.687,2.687,2.687,2.687,3.145
chip2_1851035011_site_36,TU-NK,TU-NK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chip2_1851035011_site_44,TU-NK,TU-NK,1.5,0,0,0,0,0,7.591,7.846,7.846,7.846,7.846,7.846,7.846,7.846,7.846,7.846
chip3_1851035015_site_14,TU-NK,TU-NK,0,0,0,0,0,0,7.008,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27
chip3_1851035015_site_17,TU-NK,TU-NK,5.303,4.562,4.25,4.25,4.562,5.154,8.533,8.754,8.139,7.566,7.566,7.566,8.75,8.75,8.75,8.807
chip3_1851035015_site_18,TU-NK,TU,1.841,1.581,2.315,2.315,3.206,3.206,4.249,3.563,3.563,3.563,3.563,3.563,4.333,4.197,4.197,4.197
chip3_1851035015_site_22,TU-NK,TU,6.265,6.265,6.265,6.265,6.265,6.265,6.265,6.265,6.265,6.265,6.265,6.265,6.265,6.265,6.265,6.265
chip3_1851035015_site_23,TU-NK,TU-NK,5.893,5.011,3.962,4.955,3.905,3.905,6.133,3.933,3.933,3.933,3.933,2.357,3.064,3.064,3.308,2.981
chip3_1851035015_site_24,TU-NK,TU-NK,1.601,1.601,1.601,0,0,0,3.01,3.01,0,0,0,0,0,0,0,0
chip3_1851035015_site_25,TU-NK,TU-NK,4.039,4.031,4.366,4.366,4.366,4.366,9.991,8.459,8.459,8.459,8.459,8.459,8.459,8.459,8.459,8.62
chip3_1851035015_site_26,TU-NK,NK,2.305,2.704,3.182,2.016,2.305,2.372,1.275,2.264,2.016,1.82,1.82,3.4,3.4,3.4,3.4,3.913
